-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2020 through 12/31/2020 
Location: Latitude  -23.8077   Longitude -47.4424 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 634.88 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -99 
Parameter(s): 
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C) 
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,DOY,T2M_MIN,T2M_MAX
-23.80769,-47.44239,2020,289,   15.43,   25.24
-23.80769,-47.44239,2020,290,   14.61,   23.72
-23.80769,-47.44239,2020,291,   12.66,   25.30
-23.80769,-47.44239,2020,292,   15.17,   26.14
-23.80769,-47.44239,2020,293,   17.23,   28.70
-23.80769,-47.44239,2020,294,   18.10,   29.31
-23.80769,-47.44239,2020,295,   18.14,   27.94
-23.80769,-47.44239,2020,296,   17.46,   27.68
-23.80769,-47.44239,2020,297,   16.65,   29.74
-23.80769,-47.44239,2020,298,   17.27,   28.14
-23.80769,-47.44239,2020,299,   18.06,   28.57
-23.80769,-47.44239,2020,300,   17.11,   30.03
-23.80769,-47.44239,2020,301,   17.48,   32.47
-23.80769,-47.44239,2020,302,   16.21,   34.19
-23.80769,-47.44239,2020,303,   16.55,   33.59
-23.80769,-47.44239,2020,304,   15.98,   22.46
-23.80769,-47.44239,2020,305,   14.65,   22.13
-23.80769,-47.44239,2020,306,   13.36,   21.04
-23.80769,-47.44239,2020,307,   12.13,   22.68
-23.80769,-47.44239,2020,308,   10.88,   24.44
-23.80769,-47.44239,2020,309,   11.86,   24.63
-23.80769,-47.44239,2020,310,   13.32,   23.51
-23.80769,-47.44239,2020,311,   13.20,   25.36
-23.80769,-47.44239,2020,312,   11.92,   29.59
-23.80769,-47.44239,2020,313,   13.17,   31.46
-23.80769,-47.44239,2020,314,   15.28,   31.52
-23.80769,-47.44239,2020,315,   17.83,   27.13
-23.80769,-47.44239,2020,316,   18.21,   30.05
-23.80769,-47.44239,2020,317,   18.27,   27.91
-23.80769,-47.44239,2020,318,   18.41,   26.62
-23.80769,-47.44239,2020,319,   18.56,   30.12
-23.80769,-47.44239,2020,320,   18.43,   33.41
-23.80769,-47.44239,2020,321,   20.27,   32.71
-23.80769,-47.44239,2020,322,   17.46,   28.06
-23.80769,-47.44239,2020,323,   16.04,   23.51
-23.80769,-47.44239,2020,324,   14.97,   21.69
-23.80769,-47.44239,2020,325,   14.29,   24.99
-23.80769,-47.44239,2020,326,   14.10,   27.14
-23.80769,-47.44239,2020,327,   14.62,   27.46
-23.80769,-47.44239,2020,328,   15.91,   28.38
-23.80769,-47.44239,2020,329,   16.85,   30.34
-23.80769,-47.44239,2020,330,   17.44,   33.25
-23.80769,-47.44239,2020,331,   18.99,   33.83
-23.80769,-47.44239,2020,332,   20.46,   31.22
-23.80769,-47.44239,2020,333,   19.59,   30.62
-23.80769,-47.44239,2020,334,   19.21,   33.61
-23.80769,-47.44239,2020,335,   20.54,   34.38
-23.80769,-47.44239,2020,336,   19.59,   27.87
-23.80769,-47.44239,2020,337,   19.39,   30.29
-23.80769,-47.44239,2020,338,   19.88,   33.68
-23.80769,-47.44239,2020,339,   20.47,   30.37
-23.80769,-47.44239,2020,340,   19.00,   29.65
-23.80769,-47.44239,2020,341,   18.27,   26.27
-23.80769,-47.44239,2020,342,   18.75,   26.85
-23.80769,-47.44239,2020,343,   18.45,   29.62
-23.80769,-47.44239,2020,344,   17.61,   29.92
-23.80769,-47.44239,2020,345,   17.62,   29.53
-23.80769,-47.44239,2020,346,   17.69,   27.90
-23.80769,-47.44239,2020,347,   18.43,   30.91
-23.80769,-47.44239,2020,348,   20.57,   27.98
-23.80769,-47.44239,2020,349,   20.76,   31.04
-23.80769,-47.44239,2020,350,   21.15,   28.42
-23.80769,-47.44239,2020,351,   20.87,   30.78
-23.80769,-47.44239,2020,352,   20.77,   27.46
-23.80769,-47.44239,2020,353,   20.17,   29.52
-23.80769,-47.44239,2020,354,   19.58,   32.41
-23.80769,-47.44239,2020,355,   21.94,   33.03
-23.80769,-47.44239,2020,356,   21.56,   32.08
-23.80769,-47.44239,2020,357,   18.33,   26.28
-23.80769,-47.44239,2020,358,   17.89,   28.13
-23.80769,-47.44239,2020,359,   17.67,   28.12
-23.80769,-47.44239,2020,360,   17.00,   27.37
-23.80769,-47.44239,2020,361,   16.99,   27.63
-23.80769,-47.44239,2020,362,   19.13,   25.50
-23.80769,-47.44239,2020,363,   18.76,   29.32
-23.80769,-47.44239,2020,364,   20.55,   28.74
-23.80769,-47.44239,2020,365,   20.35,   32.05
-23.80769,-47.44239,2020,366,   21.10,   30.75
